k,time_ms
1,10303.986169001291
1,13918.213971999648
1,10322.024432000035
1,10585.235022001143
1,17472.65947699998
3,32274.06559800147
3,31921.542315001716
3,30768.50045000174
3,31561.518471000454
3,44011.29303600101
5,75.03687799908221
5,32.39242500058026
5,47.122287996899104
5,50.217505002365215
5,43.0930599977728
7,71.93812799960142
7,51.68236600002274
7,49.02553699866985
7,51.73812900102348
7,53.57460400045966
10,58.2638469968515
10,52.70539900084259
10,74.27365200055647
10,55.00024400316761
10,43.87308400328038
